Codigo;Tipo de Activo;Vinculado o no;Tipo de Titulo;Emisor;NIT;Tipo Inversion;Tipo Registro;Sisitema TRansaccional;Tipo Moneda;Tipo Sector;Calificacion;Dias Vencimiento;Duracion;VPN;
51515151;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;86;0,2207;77601158;
51515151;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;512315000;
51515151;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;512315000;
51515151;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;2305417500;
51515151;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;3330047500;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;150;0;5034700000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;143;0;5041550000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;144;0;504045000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;214;0;2054980000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;284;0;4027320000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;126;0;10230300000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;133;0;1532625000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;186;0;7996240000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;192;0;499265000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;197;0;501455000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;223;0,5572;498505000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;1;414;0;2993340000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;191;0;4496535000;
