Orden;Tipo de Registro;Nemo;ISIN;Numero Emisión;Estado;Fecha Registro;Fecha de Emisión;Fecha de Vencimiento;Periodicidad;Modalidad;Días al vencimiento;Moneda;Tipo Tasa;Tipo Tasa Referencia;Spread;Tipo de Calculo;Base de calculo;Precio;Fecha Ultimo Precio;Ultimo precio;Código ISIN2;Precio Limpio;Código ISIN3;TIR;Duracion ;Duracion Modificada ;Convexidad ;Cupon Corrido ;Margen;Calificación ;CALIF;CLASE;Especie;Emisor;Entidad;Rango Plazo;indicador;indicador2;Indicador Calif
1;C;SPVSX040616.;2900409363;02016040638410+000;0;768;1882,496;0;0;0;7599;197;0,3;94;;;;;;;;;;;;;;;;;;;;;;;;;
2;D;TIDISDVL13;;0;A;06/04/2016;00/01/1900;00/01/1900;N;O;9999;COP;1;FS;0;2;0;100,058;;0;;0;;0;0;0;0;0;0;NACIO;N;;;;;;;;
3;D;TIDISDVL14;;0;A;06/04/2016;00/01/1900;00/01/1900;N;O;9999;COP;1;FS;0;2;0;100,058;;0;;0;;0;0;0;0;0;0;NACIO;N;;;;;;;;
4;D;TIDISDVL15;;0;A;06/04/2016;00/01/1900;00/01/1900;N;O;9999;COP;1;FS;0;2;0;100,058;;0;;0;;0;0;0;0;0;0;NACIO;N;;;;;;;;
5;D;TIDISDVL16;;0;A;06/04/2016;00/01/1900;00/01/1900;N;O;9999;COP;1;FS;0;2;0;100,058;;0;;0;;0;0;0;0;0;0;NACIO;N;;;;;;;;
6;D;TFIC02180916;;0;A;06/04/2016;18/09/2014;18/09/2016;P;V;165;COP;1;FS;0;2;1;97,076;;0;;97,076;;6,785;0,4521;0,4233;0;0;0,0087;NACIO;N;;;;;;;;
7;D;TFIC03180917;;0;A;06/04/2016;18/09/2014;18/09/2017;P;V;530;COP;1;FS;0;2;1;90,605;;0;;90,605;;7,031;1,452;1,3566;0;0;0,0087;NACIO;N;;;;;;;;
8;D;TFIC04110917;;0;A;06/04/2016;11/09/2013;11/09/2017;A;V;523;COP;1;FS;0;2;1;90,683;;0;;90,683;;7,064;1,4329;1,3383;0;0;0,0436;NACIO;N;;;;;;;;
9;D;TFIC04180918;;0;A;06/04/2016;18/09/2014;18/09/2018;P;V;895;COP;1;FS;0;2;1;84,232;;0;;84,232;;7,249;2,452;2,2863;0;0;0,0087;NACIO;N;;;;;;;;
10;D;TFIC04211116;;0;A;06/04/2016;21/11/2012;21/11/2016;A;V;229;COP;1;FS;0;2;1;95,97;;0;;95,97;;6,776;0,6274;0,5875;0;0;-0,041;NACIO;N;;;;;;;;
11;D;TFIC05180919;;0;A;06/04/2016;18/09/2014;18/09/2019;P;V;1260;COP;1;FS;0;2;1;78,056;;0;;78,056;;7,44;3,4521;3,213;0;0;0,0087;NACIO;N;;;;;;;;
12;D;TFIC05211117;;0;A;06/04/2016;21/11/2012;21/11/2017;A;V;594;COP;1;FS;0;2;1;89,549;;0;;89,549;;7,018;1,6274;1,5206;0;0;-0,041;NACIO;N;;;;;;;;
13;D;TFIC06180920;;0;A;06/04/2016;18/09/2014;18/09/2020;P;V;1625;COP;1;FS;0;2;1;72,143;;0;;72,143;;7,61;4,452;4,1371;0;0;0,0087;NACIO;N;;;;;;;;
14;D;TFIC06211118;;0;A;06/04/2016;21/11/2012;21/11/2018;A;V;959;COP;1;FS;0;2;1;83,241;;0;;83,241;;7,231;2,6274;2,4502;0;0;-0,041;NACIO;N;;;;;;;;
15;D;TFIC07180921;;0;A;06/04/2016;18/09/2014;18/09/2021;P;V;1990;COP;1;FS;0;2;1;66,535;;0;;66,535;;7,76;5,4519;5,0593;0;0;0,0087;NACIO;N;;;;;;;;
16;D;TFIC08180922;;0;A;06/04/2016;18/09/2014;18/09/2022;P;V;2355;COP;1;FS;0;2;1;61,255;;0;;61,255;;7,892;6,4522;5,9802;0;0;0,0087;NACIO;N;;;;;;;;
17;D;TFIC09180923;;0;A;06/04/2016;18/09/2014;18/09/2023;P;V;2720;COP;1;FS;0;2;1;56,314;;0;;56,314;;8,01;7,4522;6,8995;0;0;0,0087;NACIO;N;;;;;;;;
18;D;TFIC10180924;;0;A;06/04/2016;18/09/2014;18/09/2024;P;V;3085;COP;1;FS;0;2;1;51,711;;0;;51,711;;8,115;8,4523;7,8178;0;0;0,0087;NACIO;N;;;;;;;;
19;D;TFIC11180925;;0;A;06/04/2016;18/09/2014;18/09/2025;P;V;3450;COP;1;FS;0;2;1;47,441;;0;;47,441;;8,209;9,4518;8,7347;0;0;0,0087;NACIO;N;;;;;;;;
20;D;TFIC12180926;;0;A;06/04/2016;18/09/2014;18/09/2026;P;V;3815;COP;1;FS;0;2;1;43,489;;0;;43,489;;8,292;10,4525;9,6521;0;0;0,0087;NACIO;N;;;;;;;;
21;D;TFIC13180927;;0;A;06/04/2016;18/09/2014;18/09/2027;P;V;4180;COP;1;FS;0;2;1;39,843;;0;;39,843;;8,367;11,4522;10,5679;0;0;0,0087;NACIO;N;;;;;;;;
22;D;TFIC14180928;;0;A;06/04/2016;18/09/2014;18/09/2028;P;V;4545;COP;1;FS;0;2;1;36,483;;0;;36,483;;8,435;12,4514;11,4828;0;0;0,0087;NACIO;N;;;;;;;;
23;D;TFIC15180929;;0;A;06/04/2016;18/09/2014;18/09/2029;P;V;4910;COP;1;FS;0;2;1;33,394;;0;;33,394;;8,495;13,452;12,3987;0;0;0,0087;NACIO;N;;;;;;;;
24;D;TFIC16180930;;0;A;06/04/2016;18/09/2014;18/09/2030;P;V;5275;COP;1;FS;0;2;1;30,556;;0;;30,556;;8,55;14,4514;13,313;0;0;0,0087;NACIO;N;;;;;;;;
25;D;TFIP06211118;;0;A;06/04/2016;21/11/2012;21/11/2018;P;V;959;COP;1;FS;0;2;1;83,241;;0;;83,241;;7,231;2,6274;2,4502;0;0;-0,041;NACIO;N;;;;;;;;
26;D;TFIP16180930;;0;A;06/04/2016;18/09/2014;18/09/2030;P;V;5275;COP;1;FS;0;2;1;30,556;;0;;30,556;;8,55;14,4514;13,313;0;0;0,0087;NACIO;N;;;;;;;;
27;D;CDTBGAS0V;12NM20140410;0;A;06/04/2016;08/04/2014;08/04/2017;T;V;367;COP;1;FS;6,0609;2;0;99,634;;0;;98,153;;8,234;0,9683;0,8946;1,6497;1,482;0,9093;AAA;;;;;;;;;
28;D;CDTBSA90P;14NM20140410;0;A;06/04/2016;06/02/2012;06/02/2017;T;V;306;COP;3;IPC;4;2;0;103,47;;0;;101,702;;9,776;0;0;0;1,769;1,663;BRC1+;;;;;;;;;
29;D;CDTBGA95V;15NM20140410;0;A;06/04/2016;21/01/2014;21/01/2031;T;V;5400;COP;3;IPC;5;2;0;103,963;;0;;101,343;;13,157;0;0;0;2,62;4,7948;AAA;;;;;;;;;
30;D;CDTBOCS0V;1FDE23022016;0;A;06/04/2016;24/02/2016;24/05/2016;P;V;48;COP;1;FS;7,1557;2;0;100,831;;0;;99,996;;7,455;0,1315;0,1223;0,1289;0,835;0,8604;BRC1+;;;;;;;;;
31;D;BSOLPAZEX;53174;0;A;06/04/2016;28/04/2009;28/04/2016;A;V;22;COP;3;IP4;0;2;0;107,428;;0;;99,806;;11,207;0;0;0;7,622;2,8586;NACIO;N;;;;;;;;
32;D;BSOLPAZ;53230;0;A;06/04/2016;12/06/2009;13/06/2016;A;V;68;COP;3;IP4;0;2;0;106,165;;0;;99,535;;10,41;0;0;0;6,63;2,1208;NACIO;N;;;;;;;;
33;D;BSOLPAZ;53241;0;A;06/04/2016;17/06/2009;17/06/2016;A;V;72;COP;3;IP4;0;2;0;106,026;;0;;99,509;;10,412;0;0;0;6,517;2,1208;NACIO;N;;;;;;;;
34;D;BSOLPAZ;53270;0;A;06/04/2016;23/06/2009;23/06/2016;A;V;78;COP;3;IP4;0;2;0;105,854;;0;;99,472;;10,41;0;0;0;6,382;2,1208;NACIO;N;;;;;;;;
35;D;BSOLPAZ;53295;0;A;06/04/2016;09/07/2009;09/07/2016;A;V;94;COP;3;IP4;0;2;0;105,47;;0;;99,449;;10,107;0;0;0;6,021;1,8401;NACIO;N;;;;;;;;
36;D;BSOLPAZ;53355;0;A;06/04/2016;29/07/2009;29/07/2016;A;V;114;COP;3;IP4;0;2;0;104,915;;0;;99,345;;10,107;0;0;0;5,57;1,8401;NACIO;N;;;;;;;;
37;D;BSOLPAZ;53400;0;A;06/04/2016;08/09/2009;08/09/2016;A;V;155;COP;3;IP4;0;2;0;103,786;;0;;99,096;;10,108;0;0;0;4,69;1,8401;NACIO;N;;;;;;;;
38;D;BSOLPAZEX;53440;0;A;06/04/2016;30/09/2009;01/10/2016;A;V;178;COP;3;IP4;0;2;0;102,885;;0;;98,691;;10,759;0;0;0;4,194;2,4428;NACIO;N;;;;;;;;
39;D;BSOLPAZ;53441;0;A;06/04/2016;01/10/2009;01/10/2016;A;V;178;COP;3;IP4;0;2;0;103,159;;0;;98,987;;10,106;0;0;0;4,172;1,8401;NACIO;N;;;;;;;;
40;D;BSOLPAZ;53507;0;A;06/04/2016;30/10/2009;30/10/2016;A;V;207;COP;3;IP4;0;2;0;102,609;;0;;99,091;;9,66;0;0;0;3,518;1,4271;NACIO;N;;;;;;;;
41;D;BSOLPAZ;53670;0;A;06/04/2016;20/01/2010;20/01/2017;A;V;289;COP;3;IP4;0;2;0;100,83;;0;;99,116;;9,214;0;0;0;1,714;1,014;NACIO;N;;;;;;;;
42;D;BSOLPAZEX;53820;0;A;06/04/2016;30/04/2010;26/04/2017;A;V;385;COP;3;IP4;0;2;0;104,808;;0;;97,231;;11,02;0;0;0;7,577;2,6842;NACIO;N;;;;;;;;
43;D;BSOLPAZ;53862;0;A;06/04/2016;28/05/2010;28/05/2017;A;V;417;COP;3;IP4;0;2;0;105,611;;0;;98,666;;9,376;0;0;0;6,945;1,1631;NACIO;N;;;;;;;;
44;D;CDTBCB90DP;5436PENDIENT;0;A;06/04/2016;16/04/2014;18/04/2016;T;V;12;COP;3;IPC;2,6;2;0;102,116;;0;;100,067;;7,638;0;0;0;2,049;-0,3169;F1+;;;;;;;;;
45;D;BSOLPAZEX;54462;0;A;06/04/2016;29/06/2011;30/06/2018;A;V;815;COP;3;IP4;0;2;0;99,328;;0;;93,082;;11,779;0;0;0;6,246;3,3857;NACIO;N;;;;;;;;
46;D;BSOLPAZEX;55299;0;A;06/04/2016;15/08/2013;15/08/2020;A;V;1591;COP;3;IP4;3;2;0;103,307;;0;;96,173;;12,255;0;0;0;7,134;3,8263;NACIO;N;;;;;;;;
47;D;BVCA*;55743;0;A;06/04/2016;14/04/2015;14/04/2016;A;V;8;COP;3;IPC;4,835;2;0;112,951;;0;;100,043;;10,606;0;0;0;12,907;2,4399;NACIO;N;;;;;;;;
48;D;BVCA*;55794;0;A;06/04/2016;10/06/2015;10/06/2016;A;V;65;COP;3;IPC;4,835;2;0;111,253;;0;;100,399;;10,237;0;0;0;10,854;2,091;NACIO;N;;;;;;;;
49;D;BVCA*;55845;0;A;06/04/2016;28/09/2015;28/09/2016;A;V;175;COP;3;IPC;4,835;2;0;108,208;;0;;101,315;;9,865;0;0;0;6,894;1,745;NACIO;N;;;;;;;;
50;D;BVCA*;55886;0;A;06/04/2016;21/12/2015;21/12/2016;A;V;259;COP;2;IPC3;0;2;0;101,367;;0;;99,04;;9,315;0;0;0;2,327;1,2357;NACIO;N;;;;;;;;
51;D;CDTBBO80;CDTBBO800001;0;A;06/04/2016;22/01/2016;22/08/2016;M;V;138;COP;3;IB1;1,6;2;0;100,379;;0;;100,076;;7,913;0;0;0;0,303;1,3799;F1+;;;;;;;;;
52;D;CDTBBO80;CDTBBO800011;0;A;06/04/2016;10/02/2016;10/08/2016;M;V;126;COP;3;IB1;1,65;2;0;100,65;;0;;100,09;;7,898;0;0;0;0,561;1,3661;F1+;;;;;;;;;
53;D;CDTBCBS0V;CDTBCBS0V;0;A;06/04/2016;13/04/2015;13/04/2016;P;V;7;COP;1;FS;4,65;2;0;104,508;;0;;99,949;;7,337;0,0192;0,0178;0,017;4,56;0,8387;F1+;;;;;;;;;
54;D;CDTBCBS0V;CDTBCBS0V051;0;A;06/04/2016;10/03/2016;10/09/2017;T;V;522;COP;1;FS;8,383;2;0;100,748;;0;;100,142;;8,519;1,3551;1,2487;2,7642;0,605;0,9093;AAA;;;;;;;;;
55;D;CDTBCX80;CDTBCX800001;0;A;06/04/2016;06/04/2016;06/10/2017;M;V;548;COP;3;IB1;2,2;2;0;100,012;;0;;100,012;;8,779;0;0;0;0;2,1937;AAA;;;;;;;;;
56;D;CDTBSA80;CDTBSA800025;0;A;06/04/2016;25/01/2016;25/07/2016;M;V;110;COP;3;IB1;1,65;2;0;100,34;;0;;100,1;;7,876;0;0;0;0,241;1,3452;BRC1+;;;;;;;;;
57;D;CDTBSAS0V;CDTBSAS0V001;0;A;06/04/2016;05/04/2016;05/10/2017;T;V;547;COP;1;FS;8,3358;2;0;100,061;;0;;100,038;;8,563;1,4241;1,3117;2,9828;0,023;0,9093;AAA;;;;;;;;;
58;D;CDTBSAS0V;CDTBSAS0VB;0;A;06/04/2016;16/09/2015;16/09/2016;T;V;163;COP;1;FS;6,0609;2;0;99,687;;0;;99,35;;7,734;0,4428;0,411;0,5512;0,337;0,8557;BRC1+;;;;;;;;;
59;D;CDTCLP80;CDTCLP80T;0;A;06/04/2016;26/10/2015;26/06/2016;M;V;81;COP;3;IB1;1,65;2;0;100,355;;0;;100,136;;7,538;0;0;0;0,219;1,0281;VrR1+;;;;;;;;;
60;D;CDTDVI80;CDTDVI800026;0;A;06/04/2016;25/01/2016;25/09/2016;M;V;172;COP;3;IB1;1,7;2;0;100,354;;0;;100,112;;7,96;0;0;0;0,242;1,4243;BRC1+;;;;;;;;;
61;D;CDTGMA80;CDTGMA800064;0;A;06/04/2016;15/02/2016;15/05/2016;M;V;39;COP;3;IB1;1,4;2;0;100,506;;0;;100,068;;7,332;0;0;0;0,439;0,8343;BRC1;;;;;;;;;
62;D;CDTGMA80;CDTGMA80W;0;A;06/04/2016;28/10/2015;28/10/2016;M;V;205;COP;3;IB1;2,05;2;0;100,26;;0;;100,076;;8,472;0;0;0;0,184;1,9056;BRC1;;;;;;;;;
63;D;CDTIVC90P;CDTIVC90P001;0;A;06/04/2016;22/01/2016;22/01/2017;T;V;291;COP;3;IPC;2,1;2;0;101,854;;0;;100,061;;10,047;0;0;0;1,793;1,9146;BRC1;;;;;;;;;
64;D;CDTLBXS0V;CDTLBXS0V061;0;A;06/04/2016;15/03/2016;15/09/2017;T;V;527;COP;1;FS;8,6175;2;0;100,936;;0;;100,433;;8,541;1,367;1,2594;2,8018;0,503;0,9226;AAA;;;;;;;;;
65;D;CDTLVSS0V;CDTLVSS0V050;0;A;06/04/2016;10/03/2016;10/09/2017;T;V;522;COP;1;FS;8,43;2;0;100,814;;0;;100,205;;8,519;1,3548;1,2484;2,7633;0,609;0,9093;AAA;;;;;;;;;
66;D;CDTSFN80V;CDTSFN80V014;0;A;06/04/2016;22/01/2016;22/07/2016;M;V;107;COP;3;IB1;1,9;2;0;100,395;;0;;100,08;;8,198;0;0;0;0,314;1,6474;BRC1+;;;;;;;;;
67;D;CDTCFC80;CO12CD0P8B9;0;A;06/04/2016;23/11/2015;23/05/2017;M;V;412;COP;3;IB1;1,95;2;0;100,09;;0;;99,795;;8,744;0;0;0;0,295;2,1609;AAA;;;;;;;;;
68;D;BBBO01109AS1;COB01CB00069;0;A;06/04/2016;23/02/2010;23/02/2017;A;V;323;COP;3;IPC;5,33;2;1;103,909;;0;;102,393;;10,136;0,8849;0,8034;0;1,516;1,9969;F1+;;;;;;;;;
69;D;BBBO01109AS4;COB01CB00077;0;A;06/04/2016;23/02/2010;23/02/2020;A;V;1418;COP;3;IPC;5,45;2;1;106,385;;0;;104,854;;12,052;3,2415;2,8928;0;1,531;3,7712;AA+;;;;;;;;;
70;D;BBBO01107BS1;COB01CB00085;0;A;06/04/2016;23/02/2010;23/02/2017;A;V;323;UVR;1;FS;5,29;2;1;102,673;;0;;102,065;;2,885;0,8849;0,8601;0;0,609;0,9698;F1+;;;;;;;;;
71;D;BBBO01107BS4;COB01CB00093;0;A;06/04/2016;23/02/2010;23/02/2020;A;V;1418;UVR;1;FS;5,45;2;1;105,039;;0;;104,412;;4,193;3,5926;3,448;0;0,627;0,9698;AA+;;;;;;;;;
72;D;CDTBBO80;COB01CD000E6;0;A;06/04/2016;22/07/2014;22/07/2016;M;V;107;COP;3;IB1;1,25;2;0;100,269;;0;;99,98;;7,871;0;0;0;0,289;1,3408;F1+;;;;;;;;;
73;D;CDTBBO80;COB01CD000O5;0;A;06/04/2016;23/07/2014;23/07/2016;M;V;108;COP;3;IB1;1,25;2;0;100,251;;0;;99,981;;7,872;0;0;0;0,27;1,342;F1+;;;;;;;;;
74;D;CDTBBO90;COB01CD000P2;0;A;06/04/2016;23/07/2014;23/07/2016;T;V;108;COP;3;IPC;2,6;2;0;102,533;;0;;100,663;;8,176;0;0;0;1,87;0,1819;F1+;;;;;;;;;
75;D;CDTBBO10;COB01CD000R8;0;A;06/04/2016;23/07/2014;23/07/2016;T;V;108;COP;3;DTF;1,1;2;0;101,118;;0;;99,83;;8,135;0;0;0;1,287;1,5541;F1+;;;;;;;;;
76;D;CDTBBO90;COB01CD001D6;0;A;06/04/2016;24/07/2014;24/07/2016;T;V;109;COP;3;IPC;2,55;2;0;102,485;;0;;100,651;;8,181;0;0;0;1,834;0,1862;F1+;;;;;;;;;
77;D;CDTBBO80;COB01CD001E4;0;A;06/04/2016;24/07/2014;24/07/2016;M;V;109;COP;3;IB1;1,25;2;0;100,23;;0;;99,981;;7,873;0;0;0;0,249;1,3427;F1+;;;;;;;;;
78;D;CDTBBO90;COB01CD001K1;0;A;06/04/2016;25/07/2014;25/07/2016;T;V;110;COP;3;IPC;2,6;2;0;102,487;;0;;100,668;;8,183;0;0;0;1,819;0,188;F1+;;;;;;;;;
79;D;CDTBBO90;COB01CD001R6;0;A;06/04/2016;25/07/2014;25/07/2016;T;V;110;COP;3;IPC;2,55;2;0;102,462;;0;;100,653;;8,184;0;0;0;1,809;0,1892;F1+;;;;;;;;;
80;D;CDTBBO10;COB01CD001S4;0;A;06/04/2016;25/07/2014;25/07/2016;T;V;110;COP;3;DTF;1,05;2;0;101,231;;0;;99,844;;8,138;0;0;0;1,387;1,5571;F1+;;;;;;;;;
81;D;CDTBBO80;COB01CD001U0;0;A;06/04/2016;28/07/2014;28/07/2016;M;V;113;COP;3;IB1;1,25;2;0;100,146;;0;;99,979;;7,878;0;0;0;0,166;1,3469;F1+;;;;;;;;;
82;D;CDTBBO90;COB01CD001X4;0;A;06/04/2016;28/07/2014;28/07/2016;T;V;113;COP;3;IPC;2,6;2;0;102,418;;0;;100,676;;8,193;0;0;0;1,742;0,1969;F1+;;;;;;;;;
83;D;CDTBBO80;COB01CD002L7;0;A;06/04/2016;29/07/2014;29/07/2016;M;V;114;COP;3;IB1;1,2;2;0;100,108;;0;;99,964;;7,881;0;0;0;0,145;1,3502;F1+;;;;;;;;;
84;D;CDTBBO80;COB01CD002X2;0;A;06/04/2016;30/07/2014;30/07/2016;M;V;115;COP;3;IB1;1,25;2;0;100,103;;0;;99,978;;7,881;0;0;0;0,125;1,3504;F1+;;;;;;;;;
85;D;CDTBBO80;COB01CD003K7;0;A;06/04/2016;31/07/2014;31/07/2016;M;V;116;COP;3;IB1;1,2;2;0;100,066;;0;;99,942;;7,883;0;0;0;0,124;1,3518;F1+;;;;;;;;;
86;D;CDTBBO80;COB01CD003R2;0;A;06/04/2016;01/08/2014;01/08/2016;M;V;117;COP;3;IB1;1,2;2;0;100,045;;0;;99,942;;7,884;0;0;0;0,103;1,353;F1+;;;;;;;;;
87;D;CDTBBO90;COB01CD004J7;0;A;06/04/2016;05/08/2014;05/08/2016;T;V;121;COP;3;IPC;2,6;2;0;102,235;;0;;100,673;;8,215;0;0;0;1,563;0,2176;F1+;;;;;;;;;
88;D;CDTBBO80;COB01CD004L3;0;A;06/04/2016;05/08/2014;05/08/2016;M;V;121;COP;3;IB1;1,2;2;0;99,962;;0;;99,941;;7,889;0;0;0;0,021;1,3573;F1+;;;;;;;;;
89;D;CDTBBO80;COB01CD005C9;0;A;06/04/2016;06/08/2014;06/08/2016;M;V;122;COP;3;IB1;1,2;2;0;99,941;;0;;99,941;;7,892;0;0;0;0;1,3605;F1+;;;;;;;;;
90;D;CDTBBO80;COB01CD005D7;0;A;06/04/2016;08/08/2014;08/08/2016;M;V;124;COP;3;IB1;1,2;2;0;100,504;;0;;99,939;;7,894;0;0;0;0,565;1,3622;F1+;;;;;;;;;
91;D;CDTBBO80;COB01CD006L8;0;A;06/04/2016;13/08/2014;13/08/2016;M;V;129;COP;3;IB1;1,25;2;0;100,422;;0;;99,951;;7,9;0;0;0;0,47;1,368;F1+;;;;;;;;;
92;D;CDTBBO90;COB01CD006N4;0;A;06/04/2016;13/08/2014;13/08/2016;T;V;129;COP;3;IPC;2,6;2;0;102,212;;0;;100,759;;8,238;0;0;0;1,453;0,2386;F1+;;;;;;;;;
93;D;CDTBBO10;COB01CD006O2;0;A;06/04/2016;13/08/2014;13/08/2016;T;V;129;COP;3;DTF;1,1;2;0;100,798;;0;;99,778;;8,165;0;0;0;1,02;1,5827;F1+;;;;;;;;;
94;D;CDTBBOS0V;COB01CD006P9;0;A;06/04/2016;13/08/2014;13/08/2016;T;V;129;COP;1;FS;5,92;2;0;100,338;;0;;99,467;;7,654;0,3497;0,3248;0,4081;0,872;0,8557;F1+;;;;;;;;;
95;D;CDTBBO90;COB01CD006R5;0;A;06/04/2016;13/08/2014;13/08/2017;T;V;494;COP;3;IPC;2,8;2;0;102,345;;0;;100,862;;10,205;0;0;0;1,483;2,0602;AAA;;;;;;;;;
96;D;CDTBBO10;COB01CD006U9;0;A;06/04/2016;13/08/2014;13/08/2016;T;V;129;COP;3;DTF;1,05;2;0;100,773;;0;;99,76;;8,164;0;0;0;1,012;1,5814;F1+;;;;;;;;;
97;D;CDTBBO80;COB01CD006V7;0;A;06/04/2016;13/08/2014;13/08/2016;M;V;129;COP;3;IB1;1,2;2;0;100,401;;0;;99,934;;7,902;0;0;0;0,467;1,3693;F1+;;;;;;;;;
98;D;CDTBBO10;COB01CD006X3;0;A;06/04/2016;14/08/2014;14/08/2016;T;V;130;COP;3;DTF;1,1;2;0;100,776;;0;;99,775;;8,166;0;0;0;1,001;1,5836;F1+;;;;;;;;;
99;D;CDTBBO80;COB01CD006Y1;0;A;06/04/2016;14/08/2014;14/08/2016;M;V;130;COP;3;IB1;1,25;2;0;100,401;;0;;99,951;;7,903;0;0;0;0,451;1,3708;F1+;;;;;;;;;
100;D;CDTBBO90;COB01CD006Z8;0;A;06/04/2016;14/08/2014;14/08/2016;T;V;130;COP;3;IPC;2,6;2;0;102,189;;0;;100,763;;8,24;0;0;0;1,426;0,241;F1+;;;;;;;;;
101;D;CDTBBO80;COB01CD007A9;0;A;06/04/2016;14/08/2014;14/09/2016;M;V;161;COP;3;IB1;1,2;2;0;100,338;;0;;99,891;;7,945;0;0;0;0,448;1,4104;F1+;;;;;;;;;
102;D;CDTBBO80;COB01CD007C5;0;A;06/04/2016;14/08/2014;14/08/2016;M;V;130;COP;3;IB1;1,2;2;0;100,381;;0;;99,933;;7,902;0;0;0;0,448;1,3693;F1+;;;;;;;;;
103;D;CDTBBO80;COB01CD007J0;0;A;06/04/2016;15/08/2014;15/08/2016;M;V;131;COP;3;IB1;1,25;2;0;100,379;;0;;99,95;;7,905;0;0;0;0,43;1,373;F1+;;;;;;;;;
104;D;CDTBBO90;COB01CD007M4;0;A;06/04/2016;15/08/2014;15/08/2016;T;V;131;COP;3;IPC;2,6;2;0;102,166;;0;;100,768;;8,243;0;0;0;1,399;0,2433;F1+;;;;;;;;;
105;D;CDTBBO10;COB01CD007N2;0;A;06/04/2016;15/08/2014;15/08/2016;T;V;131;COP;3;DTF;1,1;2;0;100,815;;0;;99,799;;8,169;0;0;0;1,017;1,5863;F1+;;;;;;;;;
106;D;CDTBBO80;COB01CD007O0;0;A;06/04/2016;15/08/2014;15/09/2016;M;V;162;COP;3;IB1;1,2;2;0;100,316;;0;;99,889;;7,947;0;0;0;0,427;1,4119;F1+;;;;;;;;;
107;D;CDTBBO80;COB01CD007V5;0;A;06/04/2016;15/08/2014;15/08/2016;M;V;131;COP;3;IB1;1,2;2;0;100,359;;0;;99,932;;7,904;0;0;0;0,427;1,3714;F1+;;;;;;;;;
108;D;CDTBBO90;COB01CD007X1;0;A;06/04/2016;19/08/2014;19/08/2017;T;V;500;COP;3;IPC;2,8;2;0;102,167;;0;;100,852;;10,217;0;0;0;1,315;2,0717;AAA;;;;;;;;;
109;D;CDTBBO80;COB01CD007Z6;0;A;06/04/2016;19/08/2014;19/08/2016;M;V;135;COP;3;IB1;1,2;2;0;100,278;;0;;99,93;;7,911;0;0;0;0,348;1,378;F1+;;;;;;;;;
110;D;CDTBBO80;COB01CD008O8;0;A;06/04/2016;20/08/2014;20/08/2016;M;V;136;COP;3;IB1;1,2;2;0;100,257;;0;;99,929;;7,911;0;0;0;0,328;1,3782;F1+;;;;;;;;;
111;D;CDTBBO80;COB01CD008W1;0;A;06/04/2016;21/08/2014;21/08/2016;M;V;137;COP;3;IB1;1,2;2;0;100,236;;0;;99,928;;7,911;0;0;0;0,308;1,3784;F1+;;;;;;;;;
112;D;CDTBBO80;COB01CD009I8;0;A;06/04/2016;22/08/2014;22/08/2016;M;V;138;COP;3;IB1;1,2;2;0;100,215;;0;;99,928;;7,913;0;0;0;0,287;1,3798;F1+;;;;;;;;;
113;D;CDTBBO80;COB01CD009O6;0;A;06/04/2016;25/08/2014;25/08/2016;M;V;141;COP;3;IB1;1,2;2;0;100,154;;0;;99,927;;7,917;0;0;0;0,227;1,3837;F1+;;;;;;;;;
114;D;CDTBBO10;COB01CD009X7;0;A;06/04/2016;25/08/2014;25/08/2016;T;V;141;COP;3;DTF;1,05;2;0;100,612;;0;;99,781;;8,182;0;0;0;0,831;1,5983;F1+;;;;;;;;;
115;D;CDTBBO80;COB01CD00A03;0;A;06/04/2016;26/08/2014;26/08/2016;M;V;142;COP;3;IB1;1,2;2;0;100,132;;0;;99,926;;7,92;0;0;0;0,206;1,3866;F1+;;;;;;;;;
116;D;CDTBBO10;COB01CD00A60;0;A;06/04/2016;26/08/2014;26/08/2016;T;V;142;COP;3;DTF;1,05;2;0;100,59;;0;;99,779;;8,183;0;0;0;0,811;1,5991;F1+;;;;;;;;;
117;D;CDTBBO10;COB01CD00A86;0;A;06/04/2016;27/08/2014;27/08/2016;T;V;143;COP;3;DTF;1,05;2;0;100,568;;0;;99,777;;8,184;0;0;0;0,791;1,6;F1+;;;;;;;;;
118;D;CDTBBO90;COB01CD00A94;0;A;06/04/2016;27/08/2014;27/08/2016;T;V;143;COP;3;IPC;2,55;2;0;101,864;;0;;100,8;;8,275;0;0;0;1,064;0,2735;F1+;;;;;;;;;
119;D;CDTBBO80;COB01CD00AB4;0;A;06/04/2016;27/08/2014;27/08/2016;M;V;143;COP;3;IB1;1,2;2;0;100,111;;0;;99,925;;7,92;0;0;0;0,186;1,3868;F1+;;;;;;;;;
120;D;CDTBBO10;COB01CD00AI9;0;A;06/04/2016;28/08/2014;28/08/2016;T;V;144;COP;3;DTF;1,05;2;0;100,546;;0;;99,775;;8,185;0;0;0;0,771;1,6008;F1+;;;;;;;;;
121;D;CDTBBO80;COB01CD00AS8;0;A;06/04/2016;28/08/2014;28/08/2016;M;V;144;COP;3;IB1;1,2;2;0;100,09;;0;;99,925;;7,922;0;0;0;0,165;1,3883;F1+;;;;;;;;;
