Orden;Tipo de Registro;Nemo;ISIN;Numero Emisión;Estado;Fecha Registro;Fecha de Emisión;Fecha de Vencimiento;Periodicidad;Modalidad;Días al vencimiento;Moneda;Tipo Tasa;Tipo Tasa Referencia;Spread;Tipo de Calculo;Base de calculo;Precio;Fecha Ultimo Precio;Ultimo precio;Código ISIN2;Precio Limpio;Código ISIN3;TIR;Duracion ;Duracion Modificada ;Convexidad ;Cupon Corrido ;Margen;Calificación ;CALIF;CLASE;Especie;Emisor;Entidad;Rango Plazo;indicador;indicador2;Indicador Calif
18915;D;BPEMINHTA4;COL17CB075Y8;0;A;06/04/2016;19/09/2003;14/03/2026;P;V;3627;COP;3;ICP;4;2;0;274,873;;0;;274,873;;12,671;0;0;0;0;4,3442;NACIO;N;;;;;;;;
18916;D;BPEMINHTA4;COL17CB075Z5;0;A;06/04/2016;19/09/2003;03/06/2026;P;V;3708;COP;3;ICP;4;2;0;273,161;;0;;273,161;;12,731;0;0;0;0;4,3996;NACIO;N;;;;;;;;
18917;D;BPEMINHTA4;COL17CB076A6;0;A;06/04/2016;19/09/2003;25/07/2026;P;V;3760;COP;3;ICP;4;2;0;273,001;;0;;273,001;;12,731;0;0;0;0;4,3996;NACIO;N;;;;;;;;
18918;D;BPEMINHTA4;COL17CB076B4;0;A;06/04/2016;19/09/2003;10/09/2025;P;V;3442;COP;3;ICP;4;2;0;275,288;;0;;275,288;;12,671;0;0;0;0;4,3442;NACIO;N;;;;;;;;
18919;D;BPEMINHTA4;COL17CB076C2;0;A;06/04/2016;19/09/2003;08/07/2026;P;V;3743;COP;3;ICP;4;2;0;273,07;;0;;273,07;;12,731;0;0;0;0;4,3996;NACIO;N;;;;;;;;
18920;D;BPEMINHTA4;COL17CB076D0;0;A;06/04/2016;19/09/2003;26/11/2027;P;V;4249;COP;3;ICP;4;2;0;267,238;;0;;267,238;;12,885;0;0;0;0;4,5425;NACIO;N;;;;;;;;
18921;D;BPEMINHTA4;COL17CB076E8;0;A;06/04/2016;19/09/2003;24/02/2028;P;V;4339;COP;3;ICP;4;2;0;266,89;;0;;266,89;;12,885;0;0;0;0;4,5425;NACIO;N;;;;;;;;
18922;D;BPEMINHTA4;COL17CB076F5;0;A;06/04/2016;19/09/2003;18/08/2028;P;V;4514;COP;3;ICP;4;2;0;256,768;;0;;256,768;;13,216;0;0;0;0;4,8491;NACIO;N;;;;;;;;
18923;D;BPEMINHTA4;COL17CB076G3;0;A;06/04/2016;19/09/2003;31/03/2029;P;V;4739;COP;3;ICP;4;2;0;255,498;;0;;255,498;;13,216;0;0;0;0;4,8491;NACIO;N;;;;;;;;
18924;D;BPEMINHTA4;COL17CB076H1;0;A;06/04/2016;19/09/2003;19/03/2032;P;V;5822;COP;3;ICP;4;2;0;234,343;;0;;234,343;;13,658;0;0;0;0;5,258;NACIO;N;;;;;;;;
18925;D;BPEMINHTA4;COL17CB076I9;0;A;06/04/2016;19/09/2003;19/07/2029;P;V;4849;COP;3;ICP;4;2;0;254,859;;0;;254,859;;13,216;0;0;0;0;4,8491;NACIO;N;;;;;;;;
18926;D;BPEMINHTA4;COL17CB076J7;0;A;06/04/2016;19/09/2003;12/05/2019;P;V;1131;COP;3;ICP;4;2;0;285,075;;0;;285,075;;12,191;0;0;0;0;3,9002;NACIO;N;;;;;;;;
