ID;TIPO DE ACTIVO;VINCULADO;TIPO TITULO;EMISOR;NIT;TIPO DE INVERSION ;TIEPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACION ;VPN;NEMO;ISIN;
104;;;;;;;;;;;;;;85950,44;NA;NA;
104;;;;;;;;;;;;;;706632,13;NA;NA;
107;;;;;;;;;;;;;;226952,22;NA;NA;
107;;;;;;;;;;;;;;8383417,77;NA;NA;
107;;;;;;;;;;;;;;7462806,19;NA;NA;
107;;;;;;;;;;;;;;83,23;NA;NA;
107;;;;;;;;;;;;;;358431944,3;NA;NA;
107;;;;;;;;;;;;;;1837247,29;NA;NA;
107;;;;;;;;;;;;;;9928090,22;NA;NA;
107;;;;;;;;;;;;;;2041200,02;NA;NA;
107;;;;;;;;;;;;;;590210596,1;NA;NA;
107;;;;;;;;;;;;;;6999554;NA;NA;
107;;;;;;;;;;;;;;2426669008;NA;NA;
107;;;;;;;;;;;;;;81790,88;NA;NA;
107;;;;;;;;;;;;;;114268,05;NA;NA;
107;;;;;;;;;;;;;;39643,28;NA;NA;
107;;;;;;;;;;;;;;252411,55;NA;NA;
107;;;;;;;;;;;;;;59283,36;NA;NA;
110;;;;;;;;;;;;;;478186851,8;NA;NA;
110;;;;;;;;;;;;;;1686888,95;NA;NA;
110;;;;;;;;;;;;;;1,17467E+11;NA;NA;
110;;;;;;;;;;;;;;0;NA;NA;
110;;;;;;;;;;;;;;2981856,59;NA;NA;
110;;;;;;;;;;;;;;13904414;NA;NA;
110;;;;;;;;;;;;;;1,00993E+11;NA;NA;
110;;;;;;;;;;;;;;1667328,24;NA;NA;
110;;;;;;;;;;;;;;317444770,3;NA;NA;
110;;;;;;;;;;;;;;723071,14;NA;NA;
110;;;;;;;;;;;;;;1320471,83;NA;NA;
110;;;;;;;;;;;;;;1798370212;NA;NA;
110;;;;;;;;;;;;;;2024882,62;NA;NA;
110;;;;;;;;;;;;;;804713721,3;NA;NA;
110;;;;;;;;;;;;;;1476597735;NA;NA;
110;;;;;;;;;;;;;;1972961,26;NA;NA;
110;;;;;;;;;;;;;;2170181,88;NA;NA;
110;;;;;;;;;;;;;;2259540;NA;NA;
110;;;;;;;;;;;;;;8162215397;NA;NA;
110;;;;;;;;;;;;;;1115093330;NA;NA;
110;;;;;;;;;;;;;;1557059345;NA;NA;
110;;;;;;;;;;;;;;1821461839;NA;NA;
110;;;;;;;;;;;;;;67318990,68;NA;NA;
110;;;;;;;;;;;;;;6415688425;NA;NA;
110;;;;;;;;;;;;;;58664720542;NA;NA;
110;;;;;;;;;;;;;;2025846;NA;NA;
110;;;;;;;;;;;;;;1126826;NA;NA;
110;;;;;;;;;;;;;;1614974,22;NA;NA;
110;;;;;;;;;;;;;;84088714,5;NA;NA;
110;;;;;;;;;;;;;;0;NA;NA;
110;;;;;;;;;;;;;;387987537,7;NA;NA;
110;;;;;;;;;;;;;;4670954,7;NA;NA;
110;;;;;;;;;;;;;;811078573,6;NA;NA;
110;;;;;;;;;;;;;;1508592496;NA;NA;
110;;;;;;;;;;;;;;1940815,31;NA;NA;
110;;;;;;;;;;;;;;69333825,18;NA;NA;
110;;;;;;;;;;;;;;267217829,1;NA;NA;
110;;;;;;;;;;;;;;2306087,76;NA;NA;
110;;;;;;;;;;;;;;512144,9;NA;NA;
110;;;;;;;;;;;;;;45698426634;NA;NA;
406;;;;;;;;;;;;;;1547817,64;NA;NA;
406;;;;;;;;;;;;;;1604294344;NA;NA;
100;;;;;;;;;;;;;;63578977971;NA;NA;
100;;;;;;;;;;;;;;49463577,62;NA;NA;
100;;;;;;;;;;;;;;7848900036;NA;NA;
100;;;;;;;;;;;;;;255811033,1;NA;NA;
100;;;;;;;;;;;;;;8437993298;NA;NA;
100;;;;;;;;;;;;;;3294385894;NA;NA;
100;;;;;;;;;;;;;;52985294,9;NA;NA;
100;;;;;;;;;;;;;;102727951,4;NA;NA;
100;;;;;;;;;;;;;;2250832540;NA;NA;
104;;;;;;;;;;;;;;893991828,9;NA;NA;
100;;;;;;;;;;;;;;0;NA;NA;
100;;;;;;;;;;;;;;20000060000;NA;NA;
100;;;;;;;;;;;;;;20000060000;NA;NA;
104;;;;;;;;;;;;;;954534821,4;NA;NA;
406;;;;;;;;;;;;;;1005254726;NA;NA;
406;;;;;;;;;;;;;;1139605810;NA;NA;
100;;;;;;;;;;;;;;104256663,4;TRDTSL;COL17CB0DLT5;
100;;;;;;;;;;;;;;776326964,4;BPENSION13;COL17CB0UXN7;
100;;;;;;;;;;;;;;3002520000;CDTBGA10;COB13CD27899;
100;;;;;;;;;;;;;;6638775000;CDTBCB90DP;COB07CD75189;
100;;;;;;;;;;;;;;10051100000;CDTCFC90;COJ12CD0ORI9;
100;;;;;;;;;;;;;;1505820000;BBPO09148D2;COB02CB00349;
100;;;;;;;;;;;;;;1505820000;BBPO09148D2;COB02CB00349;
100;;;;;;;;;;;;;;1003880000;BBPO09148D2;COB02CB00349;
100;;;;;;;;;;;;;;5110300000;CDTDVI95;COB51CD65543;
100;;;;;;;;;;;;;;2026640000;CDTBCB90DP;COB07CD77094;
100;;;;;;;;;;;;;;7005180000;CDTBBO80;COB01CD97061;
100;;;;;;;;;;;;;;5008100000;CDTLGC80;COJ49CD84707;
100;;;;;;;;;;;;;;3065910000;CDTBCB90DP;COB07CD75015;
100;;;;;;;;;;;;;;1021770000;CDTBCB90DP;COB07CD75098;
100;;;;;;;;;;;;;;5057650000;CDTBSN10;COB65CD00102;
100;;;;;;;;;;;;;;5057650000;CDTBSN10;COB65CD00102;
100;;;;;;;;;;;;;;5010050000;CDTFAN80;COB63CD00B72;
100;;;;;;;;;;;;;;4522455000;CDTBSA80;COB06CD027P0;
100;;;;;;;;;;;;;;2002920000;CDTBBO80;COB01CD003P6;
100;;;;;;;;;;;;;;9607255000;CDTBCB90DP;COB07CD83621;
100;;;;;;;;;;;;;;15165450000;CDTBCB90DP;COB07CD78118;
100;;;;;;;;;;;;;;5516335000;CDTFAL10;COB56CD0B162;
100;;;;;;;;;;;;;;20187200000;CDTBCB90DP;COB07CD83985;
100;;;;;;;;;;;;;;5019400000;CDTLGC90;COJ49CD90217;
100;;;;;;;;;;;;;;2006940000;CDTBBO80;COB01CD009L2;
100;;;;;;;;;;;;;;3029850000;CDTBBO10;COB01CD90488;
100;;;;;;;;;;;;;;9933700000;CDTBSA10;COB06CD02XZ0;
100;;;;;;;;;;;;;;3001920000;CDTGMA15;COJ26CD29999;
100;;;;;;;;;;;;;;1000640000;CDTGMA15;COJ26CD29999;
100;;;;;;;;;;;;;;4005280000;CDTCLP80;COB19CD59055;
100;;;;;;;;;;;;;;3260064498;CDTLVS10;COB52CD28770;
100;;;;;;;;;;;;;;3010950000;CDTBPO80;COB02CD10336;
100;;;;;;;;;;;;;;5018250000;CDTBPO80;COB02CD10336;
100;;;;;;;;;;;;;;2543025000;BIVC01141B18;COB64CB00018;
100;;;;;;;;;;;;;;2543025000;BIVC01141B18;COB64CB00018;
100;;;;;;;;;;;;;;20111800000;CDTBGA10;COB13CD33053;
100;;;;;;;;;;;;;;1521135000;CDTGMA15;COJ26CD30062;
100;;;;;;;;;;;;;;10097300000;CDTLVS10;COB52CD29067;
100;;;;;;;;;;;;;;5070281468;CDTLBV10;COJ35CD04670;
100;;;;;;;;;;;;;;2004120000;CDTCLP80;COB19CD53215;
100;;;;;;;;;;;;;;3014610000;CDTCFC80;COJ12CD0OSL1;
100;;;;;;;;;;;;;;1011740000;CDTSUF10;COJ05CD72910;
100;;;;;;;;;;;;;;10027100000;CDTDVI80;COB51CD75781;
100;;;;;;;;;;;;;;10268500000;CDTDVI95;COB51CD75799;
100;;;;;;;;;;;;;;9992600000;CDTBSC80;COB12CD70586;
100;;;;;;;;;;;;;;2001340000;CDTBGA10;COB13CD27931;
100;;;;;;;;;;;;;;3022170000;CDTBBO10;COB01CD009F4;
100;;;;;;;;;;;;;;5003550000;CDTFDT10;COL06CD08264;
100;;;;;;;;;;;;;;1012240000;CDTLBX10;COJ70CD30748;
100;;;;;;;;;;;;;;2024480000;CDTLBX10;COJ70CD30748;
100;;;;;;;;;;;;;;2026440000;CDTLBX10;COJ70CD30789;
100;;;;;;;;;;;;;;3032610000;CDTGMA15;COJ26CD30237;
100;;;;;;;;;;;;;;4077400000;CDTDVI95;COB51CD76698;
100;;;;;;;;;;;;;;1005970000;CDTGMA15;COJ26CD30385;
100;;;;;;;;;;;;;;2539900000;CDTDVI95;COB51CD77472;
100;;;;;;;;;;;;;;2016600000;BFAN04141B30;COB63CB00267;
100;;;;;;;;;;;;;;6226620000;BEPT01119A5;COI46CB00044;
100;;;;;;;;;;;;;;500335000;CDTGMAS5V;COJ26CD30450;
100;;;;;;;;;;;;;;4002680000;CDTGMAS5V;COJ26CD30450;
100;;;;;;;;;;;;;;2525700000;CDTLGC10;COJ49CD60624;
100;;;;;;;;;;;;;;4092040000;CDTBCB90DP;COB07CD74976;
100;;;;;;;;;;;;;;2980795165;CDTLBVS0V;COJ35CD05834;
100;;;;;;;;;;;;;;6075780000;CDTIVC10;COB64CD008Q7;
100;;;;;;;;;;;;;;5002000000;CDTDVI80;COB51CD70840;
100;;;;;;;;;;;;;;5008450000;CDTBGA80;COB13CD29515;
100;;;;;;;;;;;;;;3992040000;CDTBSA10;COB06CD01SX7;
100;;;;;;;;;;;;;;15117450000;CDTBCBS0V;COB07CD90386;
100;;;;;;;;;;;;;;10160800000;CDTDVI95;COB51CD79916;
100;;;;;;;;;;;;;;1511865000;CDTBCBS0V;COB07CD90451;
100;;;;;;;;;;;;;;4031360000;CDTBGAS0V;COB13CD28806;
100;;;;;;;;;;;;;;10045500000;CDTDVI80;COB51CD73166;
100;;;;;;;;;;;;;;996450000;CDTDVIS0V;COB51CD76292;
100;;;;;;;;;;;;;;1992460000;CDTDVIS0V;COB51CD76375;
100;;;;;;;;;;;;;;5233000000;CDTBCBS0V;COB07CD89933;
100;;;;;;;;;;;;;;1499910000;CDTBGAS0V;COB13CD27543;
100;;;;;;;;;;;;;;1013240000;CDTBGAS0V;COB13CD30422;
100;;;;;;;;;;;;;;506270000;CDTBGAS0V;COB13CD30414;
100;;;;;;;;;;;;;;1012540000;CDTBGAS0V;COB13CD30364;
100;;;;;;;;;;;;;;2507350000;CDTCLPS0V;COB19CD59667;
100;;;;;;;;;;;;;;3207616000;CDTDVIS0V;COB51CD77738;
100;;;;;;;;;;;;;;10019800000;BDVI0714SF24;COB51CB00536;
100;;;;;;;;;;;;;;2056160000;CDTDVI95;COB51CD75526;
100;;;;;;;;;;;;;;20097200000;CDTBCBS0V;COB07CD91616;
100;;;;;;;;;;;;;;9989100000;CDTDVIS0V;COB51CD75765;
100;;;;;;;;;;;;;;1010320000;CDTBGAS0V;COB13CD36478;
100;;;;;;;;;;;;;;1002830000;CDTBCBS0V;COB07CD90709;
100;;;;;;;;;;;;;;3998880000;CDTCLPS0V;COB19CD54528;
100;;;;;;;;;;;;;;3020130000;CDTDVI95;COB51CD81391;
100;;;;;;;;;;;;;;2003560000;CDTIVCS0V;COB64CD00M78;
100;;;;;;;;;;;;;;4999500000;CDTCLP80;COB19CD94557;
100;;;;;;;;;;;;;;999700000;CDTCLP80;COB19CD94813;
100;;;;;;;;;;;;;;2999160000;CDTCLPS0V;COB19CD54569;
100;;;;;;;;;;;;;;996840000;CDTBCBS0V;COB07CD94313;
100;;;;;;;;;;;;;;5003900000;CDTCFC90;COJ12CD0P1D0;
100;;;;;;;;;;;;;;2001560000;CDTCFC90;COJ12CD0P1D0;
100;;;;;;;;;;;;;;3544135000;CDTBCB90DP;COB07CD77565;
100;;;;;;;;;;;;;;500990000;BDVI0714SF24;COB51CB00536;
100;;;;;;;;;;;;;;4106160000;BBOC01119B5;COB23CB00477;
100;;;;;;;;;;;;;;2034420000;BIVC01141B18;COB64CB00018;
100;;;;;;;;;;;;;;2014960000;CDTLGCS0V;COJ49CD98624;
100;;;;;;;;;;;;;;3024510000;CDTBSA10;COB06CD0ASR3;
100;;;;;;;;;;;;;;5049400000;CDTLGCS0V;COJ49CD98988;
100;;;;;;;;;;;;;;9936400000;CDTBCBS0V;COB07CD96011;
100;;;;;;;;;;;;;;1154637900;TDAINTA;COT19CB14643;
100;;;;;;;;;;;;;;1981240800;TDAINTB;COT19CB14650;
100;;;;;;;;;;;;;;1495860000;CDTBSA80;COB06CD0B6C6;
100;;;;;;;;;;;;;;2006620000;CDTFAN10;COB63CD02NZ2;
100;;;;;;;;;;;;;;1002310000;CDTBSA80;COB06CD01DF6;
100;;;;;;;;;;;;;;1490415000;CDTLGCS0V;COJ49CD92361;
100;;;;;;;;;;;;;;988090000;CDTBGAS0V;COB13CD34416;
100;;;;;;;;;;;;;;501575000;CDTIVC10;COB64CD00VA0;
100;;;;;;;;;;;;;;6852230000;CDTBOCS0V;COB23CD32039;
100;;;;;;;;;;;;;;2996250000;CDTBSA10;COB06CD0BEN0;
100;;;;;;;;;;;;;;1956560000;CDTLGCS0V;COJ49CD99531;
100;;;;;;;;;;;;;;4512935528;CDTLBV10;COJ35CD06295;
100;;;;;;;;;;;;;;2951520000;CDTBCBS0V;COB07CD91590;
100;;;;;;;;;;;;;;2934780000;CDTLGCS0V;COJ49CD99796;
100;;;;;;;;;;;;;;4566420000;CDTBSCS5V;COB12CD00351;
100;;;;;;;;;;;;;;990015843,1;CDTLBVS0V;COJ35CD06089;
100;;;;;;;;;;;;;;9774600000;CDTDVIS0V;COB51CD83876;
100;;;;;;;;;;;;;;2975850000;CDTLGCS0V;COJ49CD000P8;
100;;;;;;;;;;;;;;1006400000;CDTLBX10;COJ70CD35697;
100;;;;;;;;;;;;;;10000000000;CDTLGC10;COJ49CD001A8;
100;;;;;;;;;;;;;;3002610000;CDTBSAS0V;COB06CD0BVU9;
100;;;;;;;;;;;;;;6226599799;BVCA*;COL17CB1FEM8;
100;;;;;;;;;;;;;;9708400000;CDTBGAS0V;COB13CD42146;
100;;;;;;;;;;;;;;10441725000;CDTFDT10;COL06CD09155;
100;;;;;;;;;;;;;;1537830000;TFIT02010716;COL17CT03052;
100;;;;;;;;;;;;;;735740503,9;TDAINTA;COT19CB15038;
100;;;;;;;;;;;;;;1358426795;TDAINTB;COT19CB15020;
100;;;;;;;;;;;;;;2557650000;CDTGMAS5V;COJ26CD33249;
100;;;;;;;;;;;;;;4994750000;CDTBCBS0V;COB07CD92184;
100;;;;;;;;;;;;;;8997480000;CDTCLPS0V;COB19CD54528;
100;;;;;;;;;;;;;;1501275000;CDTFAL80;COB56CD0IAI2;
100;;;;;;;;;;;;;;2496325000;CDTBSC80;COB12CD85014;
100;;;;;;;;;;;;;;6008220000;CDTBSC80;COB12CD85048;
100;;;;;;;;;;;;;;8026400000;CDTDVI95;COB51CD88362;
100;;;;;;;;;;;;;;4010680000;CDTLVS90A;COB52CD34596;
100;;;;;;;;;;;;;;10022100000;CDTCFC90;COJ12CD0P134;
100;;;;;;;;;;;;;;3018480000;CDTCFC80;COJ12CD0P6V1;
100;;;;;;;;;;;;;;1505145000;CDTCLP80;COB19CD53991;
100;;;;;;;;;;;;;;1004910000;CDTBSA80;COB06CD0GKD7;
100;;;;;;;;;;;;;;3017310000;CDTBSA80;COB06CD0GNK6;
