Fondo;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;duración;VPN
60404;1;2;34;Aviancataca Holding S.A.;4444000011;2;1;1;1;1;45;1;0;56700000
60404;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;140665575.48
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;527;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;87;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;90;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;87;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;192;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;19;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;515;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;138;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;121;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;150;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;78;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;70;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;-0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;515;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;166;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-12;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-12;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-12;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-12;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;-0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-19;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-28;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;515;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;19;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-12;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;90;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;90;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-12;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-18;0;0
