COD;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;Emisor;NIT10;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;Duración;VPN
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;518;0;5040600000,00
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;541;0;3020040000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;431;0;3021570000,00
9011286;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;761;0;3817100272,75
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;541;0;2990310000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;536;0;9047790000,00
9011286;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;1482394030,37
9011286;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;53628196,02
9011286;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;1523546750,79
9011286;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;2050419695,43
9011286;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;1587513256,75
9011286;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;1786690984,02
9011286;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;1344214188,18
9011286;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;18607192004,60
9011286;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;51247616436,93
9011286;2;1;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;32625176450,33
9011286;2;2;0;Banco Itaú S.A;8909039370;0;0;0;0;0;0;0;0;1657569759,63
9011286;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;5981828641,58
9011286;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;62642023,14
9011286;2;2;0;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;0;0;0;0;0;0;0;0;99859684,53
9011286;2;2;0;Banco Falabella S.A.;9000479818;0;0;0;0;0;0;0;0;48801711,83
9011286;2;2;0;Banco Cooperativo Coopcentral;8902030889;0;0;0;0;0;0;0;0;52283713,05
9011286;2;2;0;Banco Coomeva S.A. Bancoomeva;9004061505;0;0;0;0;0;0;0;0;117147948,77
9011286;2;2;0;Banco Mundo Mujer;9007689338;0;0;0;0;0;0;0;0;31721540,09
9011286;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;1431847121,73
9011286;2;2;0;Banco Wwb S.A.;9003782122;0;0;0;0;0;0;0;0;22145357083,09
9011286;2;2;0;Giros Y Finanzas Cia De Financiamiento Comercial;8600067979;0;0;0;0;0;0;0;0;37646135,91
9011286;2;2;0;Mibanco - Banco de la Microempresa de Colombia S.A.;8600259715;0;0;0;0;0;0;0;0;10336615280,28
9011286;2;2;0;Banco De La Republica;8600052167;0;0;0;0;0;0;0;0;30006705953,80
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;62;0;5061850000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;3;0;1011240000,00
9011356;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;31;0;5052850000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;27;0;3007260000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;196;0;5238350000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;6;31;0;5119900000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;148;0;5058500000,00
