ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO; DURACION ;  VPN  ;FIC
9633;1;2;3;Banco Pichincha S.A.;8902007567;2;1;1;1;2;1;175;0;2012120000;VP
9633;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;359;0;1997915820;VP
9633;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;189;0;2022220000;VP
9633;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;189;0;2527775000;VP
9633;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;190;0;4043720000;VP
9633;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;26;0;1009720000;VP
9633;1;2;16;Banco Pichincha S.A.;8902007567;2;1;1;1;2;1;30;0;2020300000;VP
9633;1;2;16;Banco Pichincha S.A.;8902007567;2;1;1;1;2;1;211;0;2019800000;VP
9633;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;406;0;2514475000;VP
9633;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;245;0;506055000;VP
9633;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;169;0;1009640000;VP
9633;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;702;0;1028230000;VP
9633;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;366;0;1024560000;VP
9633;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;516;0;1030540000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;273;0;3000990000;VP
9633;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;284;0;5061600000;VP
