COD;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR ;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN;VPN
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;435;0;3559850000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;593;0;15258900000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;378;0;2562525000,00
91011952;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;385;0;952710000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;161;0;2560275000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;177;0;5089850000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;120;0;2074460000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;335;0;8356720000,00
91011952;1;2;16;Banco Falabella S.A.;9000479818;2;1;1;1;2;18;242;0;2008300000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;133;0;17479800000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;394;0;1046790000,00
91011952;1;2;16;Banco Falabella S.A.;9000479818;2;1;1;1;2;18;239;0;10052100000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;125;0;10360300000,00
91011952;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;355;0;15562050000,00
91011952;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;316;0;5116150000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;579;0;3506420000,00
91011952;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;411;0;8686575000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;394;0;1035640000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;569;0;4629960000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;463;0;6035640000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;571;0;5204950000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;1034;0;10583100000,00
91011952;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;308;0;1021430000,00
91011952;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;311;0;4852400000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;534;0;5282550000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;570;0;1066340000,00
91011952;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;406;0;3061950000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;464;0;9557190000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;687;0;6226440000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;571;0;7462000000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;369;0;9273150000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;1038;0;8456400000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;676;0;10413300000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;676;0;2603325000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;683;0;5198800000,00
91011952;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;901;0;10953100000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;929;0;2130760000,00
91011952;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;878;0;9401425000,00
91011952;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;871;0;1561935000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;371;0;5148300000,00
91011952;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;337;0;4612365000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;239;0;5104250000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;372;0;10166500000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;395;0;10352900000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;377;0;4101440000,00
