Fondo;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;Duración;VPN
8508805;1;2;37;Grupo Nutresa S.A.;8909000501;2;1;1;1;1;1;1;0;72458400
8508805;1;2;34;Grupo Aval Acciones Y Valores S.A.;8002161815;2;1;1;1;2;1;1;0;44003250
8508805;1;2;34;Grupo Aval Acciones Y Valores S.A.;8002161815;2;1;1;1;2;1;1;0;39750000
8508805;1;2;34;Grupo Aval Acciones Y Valores S.A.;8002161815;2;1;1;1;2;1;1;0;31786750
8508805;1;2;37;Aerovias Nac. De Colombia S.A. - Avianca S.A.;8901005776;2;1;1;1;1;1;1;0;595000
8508805;1;2;37;Aerovias Nac. De Colombia S.A. - Avianca S.A.;8901005776;2;1;1;1;1;1;1;0;11900000
8508805;1;2;37;Aerovias Nac. De Colombia S.A. - Avianca S.A.;8901005776;2;1;1;1;1;1;1;0;9817500
8508805;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1;0;57690500
8508805;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1;0;11942400
8508805;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1;0;12502200
8508805;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1;0;37755400
8508805;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1;0;6220000
8508805;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1;0;55980000
8508805;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1;0;124400000
8508805;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1;0;93300000
8508805;1;2;37;Cementos Argos S.A.;8901002510;2;1;1;1;1;1;1;0;48270000
8508805;1;2;34;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;1;0;63266400
8508805;1;2;34;Grupo Argos S.A.;8909002663;2;1;1;1;2;1;1;0;3776000
8508805;1;2;34;Grupo Argos S.A.;8909002663;2;1;1;1;2;1;1;0;28320000
8508805;1;2;34;Grupo Argos S.A.;8909002663;2;1;1;1;2;1;1;0;51542400
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;59400000
8508805;1;2;34;Grupo De Inversiones Suramericana S.A.;8110122713;2;1;1;1;2;1;1;0;36432000
8508805;1;2;37;Promigas S.A;8901055263;2;1;1;1;1;1;1;0;31044000
8508805;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;9364417.94
8508805;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;36816.4
8508805;2;1;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;2391646.23
8508805;2;1;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;145146.65
