fondo;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;duracion;VPN
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;310; -   ;1525110000
9041248;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;315; -   ;1015370000
9041248;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;414; -   ;2538300000
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;345; -   ;5040650000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;394; -   ;6084900000
9041248;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;962; -   ;506085000
9041248;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;599; -   ;504885000
9041248;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;975; -   ;1004280000
9041248;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;974; -   ;4017880000
9041248;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;5; -   ;510165000
9041248;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;51; -   ;2007100000
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;16; -   ;4013840000
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;38; -   ;4023040000
9041248;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;127; -   ;504350000
9041248;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;318; -   ;2024340000
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;325; -   ;2019960000
9041248;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;329; -   ;1009700000
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;155; -   ;5047000000
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;163; -   ;503975000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;312; -   ;1013700000
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;60; -   ;501095000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;281; -   ;4056000000
9041248;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;257; -   ;1006550000
9041248;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;420; -   ;2014000000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;72; -   ;1006390000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;253; -   ;1012400000
9041248;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;44; -   ;1004910000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;535; -   ;2013940000
9041248;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;318; -   ;1005030000
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;165; -   ;151140000
9041248;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;637; -   ;992720000
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;60; -   ;1002190000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;65; -   ;2014700000
9041248;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;635; -   ;5507480000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;522; -   ;3995320000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;16; -   ;506290000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;49; -   ;2012820000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;57; -   ;2512850000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;80; -   ;1502535000
9041248;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;136; -   ;2538750000
9041248;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;133; -   ;162563200
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;9; -   ;506605000
9041248;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;704; -   ;5022150000
