CÓDIGO DEL FIC;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TITULO;EMISOR;NIT;TIPO INVERSION ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN; VPN 
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;185;0;1010200000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;438;0;494030000
850762;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;72;0;2005700000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;177;0;1000000000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;62;0;1005690000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;84;0;1002010000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;73;0;501950000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;112;0;2001880000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;84;0;1001010000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;449;0;992150000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;458;0;995700000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;458;0;498165000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;100;0;1002130000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;108;0;1000400000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;143;0;999000000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;364;0;511785000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;397;0;518205000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;93;0;1523205000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;61;0;501240000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;3;0;2024540000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;50;0;1003750000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;77;0;2146980000
