ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULOS;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN;VPN;
9011403;1;2;16;Banco Colpatria;8901001806;2;1;1;1;2;1;532;0;4970250000;
9011403;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;168;0;2009600000;
9011403;1;2;16;Banco Falabella S.A.;9000479818;2;1;1;1;2;6;43;0;3013680000;
9011403;1;2;16;Banco Finandina S.A.;8600518946;2;1;1;1;2;11;189;0;3020580000;
9011403;1;2;16;Banco Finandina S.A.;8600518946;2;1;1;1;2;11;218;0;2015700000;
9011403;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;468;0;2017020000;
9011403;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;468;0;2017020000;
9011403;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;468;0;1008510000;
9011403;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;653;0;2017020000;
9011403;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;653;0;2017020000;
9011403;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;27;0;2003200000;
9011403;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;350;0;3016650000;
9011403;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;385;0;5005000000;
9011403;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;372;0;5030750000;
9011403;1;2;16;Banco Pichincha S.A.;8902007567;2;1;1;1;2;4;7;0;3015750000;
9011403;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;5;111;0;5013950000;
9011403;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;190;0;10031200000;
9011403;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;176;0;1999100000;
9011403;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;581;0;10061600000;
9011403;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;110;0;5017150000;
9011403;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;111;0;11035530000;
9011403;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;115;0;3007200000;
9011403;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;467;0;5087600000;
9011403;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;653;0;3057150000;
9011403;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;475;0;2037760000;
9011403;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;639;0;2044800000;
9011403;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;96;0;2053960000;
9011403;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;1.225;0;2066200000;
9011403;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;2.307;0;1032630000;
9011403;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;542;0;5056250000;
9011403;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;3.021;0;2047520000;
9011403;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;111;0;8222560000;
9011403;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;63;0;1518075000;
9011403;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;641;0;3070950000;
9011403;1;2;16;Banco Caja Social;8600073354;2;1;1;1;2;1;301;0;2040000000;
