FONDO;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACION;VPN
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;224;0;2537875000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;223;0;3045930000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;83;0;3028950000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;83;0;1009650000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;142;0;1021410000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;173;0;2032760000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;120;0;1020200000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;120;0;1020200000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;522;0;1044880000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;310;0;514040000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;125;0;506565000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;23;0;4699160000
8507623;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;383;0;519515000
8507623;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;37;0;1014800000
8507623;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;4;0;2038740000
8507623;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;114;0;511125000
8507623;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;99;0;3074700000
8507623;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;17;0;1002280000
8507623;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;305;0;2524500000
8507623;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;1;648;0;5072750000
8507623;1;2;16;Citibank Colombia S.A.;8600511354;2;1;1;1;2;1;200;0;515085000
8507623;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;248;0;1005930000
