ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACION;VPN
8508802;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;392;0;1011250000
8508802;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;92;0;1010470000
8508802;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;87;0;2008160000
8508802;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;148;0;2026740000
8508802;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;624;0;2038340000
8508802;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;579;0;1012020000
8508802;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;3;0;1009806674.66
8508802;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;3;0;617065449
8508802;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;3;0;1013509417.66
8508802;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;3;0;502309316.66
8508802;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;392699907.03
8508802;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;271919963.67
8508802;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;484648187.47
8508802;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;1891975.6
8508802;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;4907413355.21
8508802;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;286623196.19
8508802;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;70399076.42
8508802;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;1709581011.05
8508802;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;251738044.48
8508802;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;7582927901.12
8508802;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;56234946.37
8508802;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;6531674090.74
8508802;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;67534.78
8508802;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;700918203.4
8508802;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;564390694.76
8508802;2;1;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;3116121592.67
8508802;2;1;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;40760031.71
8508802;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;0
8508802;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;425204700.01
8508802;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;553142782.83
8508802;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;104698089.94
8508802;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;89497499.77
8508802;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;2036695.9
8508802;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;0
8508802;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;0
8508802;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;425298515.57
8508802;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;2186551.65
8508802;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;583142613.21
8508802;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;7080384048.05
8508802;2;2;0;Scotiabank Colombia S.A.;8600517052;0;0;0;0;0;0;0;0;0
8508802;2;2;0;Scotiabank Colombia S.A.;8600517052;0;0;0;0;0;0;0;0;0
8508802;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;2996333.6
8508802;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;10282215
